UserName,Datetime,Tweet Id,Text
BaramosGonus,2020-10-25 23:58:34+00:00,1320515126143913991,So #Trump in his @60Minutes interview just reminded America that he ran at least partially on (apparently) incarcerating Hillary Clinton so after four years why didn’t he do it? 🤔 Why in fact has fulfilling his platform promises been totally unimportant for his first term?
iloanya1,2020-10-25 23:58:28+00:00,1320515098402787333,I have never ever seen anyone lie as much as #Trump in my entire life
greeneyes3470,2020-10-25 23:58:27+00:00,1320515094762192898,"@JeffreyGuterman Trump is such a lying, back peddling, delusional
Piece of 💩!
Dump reckless, lying
#Trump #LockHimUp
#PleaseSaveTheseChildren 
#TrumpMadeInChina
#TrumpsTheBiggestLiarEver 
#TrumpIsNotAmerica 
#TrumpCrimeFamily
#PutinsPuppet 
#TrumpIsALaughingStock 
#DonTheCon"
carlyinNJ,2020-10-25 23:58:24+00:00,1320515081378107392,"Vlad throws Don out the window, (so to speak)! 😅Bet Don is desperately calling his former BFF, even Putin is sick of Whiner In Chief. #DumpTrump2020 #RESIST 🌊
@maddow
👉|Vladimir Putin Discredits #Trump’s Hunter Biden Smear on Russian TV https://t.co/jDWW21S2Q1 via @politizoom"
SpeaksAthena,2020-10-25 23:58:22+00:00,1320515076319825920,"👉🏻#TrumpVirusDeathToll275K &amp; rising when all #Americans killed by #TrumpVirus are counted. #Trump &amp; #GOPDeathCult have been hiding #Covid deaths as pneumonia cases for months-see TX, FL, etc. People died alone &amp; scared, without family. #ProsecuteThemAll #VoteBidenHarris #VoteBlue https://t.co/DrhoHYHuZJ"
BosGuy,2020-10-25 23:58:19+00:00,1320515060402409478,"I was watching someone being interviewed at a #Trump rally and the convo went like this:

Journalist: Do you think Trump is racist.

Trump supporter: No, I think he's racist against lazy people.

??? WTF ???

That is not what the word racist means."
Real_us_news,2020-10-25 23:58:15+00:00,1320515044489236480,"Anyone who sees this tweet please like, follow, and share   thanks.
#VoteEarly #Trump2020 #Trump #parade #VoteRedToSaveAmerica2020 #NewAccount"
FieldGeorge,2020-10-25 23:58:04+00:00,1320515001329868800,"@NateSilver538 Not to rain on the Blue Parade in the replies, but the #Texas Likely Voter polls that include dates after the 10/22 debate are the ones that show a #Trump lead 🌧️"
LALATE,2020-10-25 23:58:00+00:00,1320514981696331776,"JUST RELEASED!  Be sure to like, share, subscribe and alert!

3. #MCCONELL VS #TRUMP  
(&amp; FPUC UI PUA)

🌊 AFTERNOONS LALATE 🌊 GREAT NEWS 
WATCH VIDEO NOW HERE ! ▶️▶️   https://t.co/zqvDPWXzdL

🎥 #LALATE 💜 #PURPLEPOWER  💜 #SEATS4STIMULUS  🗳️ #IAMVALUED 💵 #MSC 2"
vdpierre9,2020-10-25 23:57:56+00:00,1320514967829962753,@CBSNews It's a lie don't believe the hype it will never happen.. @realDonaldTrump #Trump @GOP @GOPconvention
